profile,workload,context_scale,load_ratio,running_count,live_tokens,physical_kv_tokens,decode_load_count_ratio,physical_kv_load_ratio,production_pairwise_agreement_vs_registered,continuous_pairwise_agreement_vs_registered,production_top5_overlap_vs_registered,continuous_top5_overlap_vs_registered,logical_admissible_count,physical_admit_count,physical_effective_cap,max_formula_error_s
small_slow_proxy,tool_heavy,0.5,0.35,17,137625,393216,0.3541666666666667,0.34999847412109375,1.0,1.0,1.0,1.0,16,18,35,0.0
registered_a100_shape,tool_heavy,0.5,0.35,34,275251,786432,0.3541666666666667,0.34999974568684894,1.0,1.0,1.0,1.0,16,18,52,0.0
large_fast_proxy,tool_heavy,0.5,0.35,67,550502,1572864,0.3489583333333333,0.34999974568684894,1.0,1.0,1.0,1.0,16,18,85,3.552713678800501e-15
small_slow_proxy,tool_heavy,0.5,0.7,34,275251,393216,0.7083333333333334,0.6999994913736979,1.0,1.0,1.0,1.0,16,14,48,0.0
registered_a100_shape,tool_heavy,0.5,0.7,67,550502,786432,0.6979166666666666,0.6999994913736979,1.0,1.0,1.0,1.0,16,18,85,0.0
large_fast_proxy,tool_heavy,0.5,0.7,134,1101004,1572864,0.6979166666666666,0.6999994913736979,1.0,1.0,1.0,1.0,16,18,152,0.0
small_slow_proxy,tool_heavy,0.5,0.9,43,353894,393216,0.8958333333333334,0.8999989827473959,0.9869281045751634,1.0,1.0,1.0,7,4,47,0.0
registered_a100_shape,tool_heavy,0.5,0.9,86,707788,786432,0.8958333333333334,0.8999989827473959,1.0,1.0,1.0,1.0,11,6,92,0.0
large_fast_proxy,tool_heavy,0.5,0.9,173,1415577,1572864,0.9010416666666666,0.8999996185302734,1.0,1.0,1.0,1.0,16,11,184,0.0
small_slow_proxy,tool_heavy,1.0,0.35,17,137625,393216,0.3541666666666667,0.34999847412109375,0.7647058823529411,0.8235294117647058,0.6,0.4,9,18,35,1.4210854715202004e-14
registered_a100_shape,tool_heavy,1.0,0.35,34,275251,786432,0.3541666666666667,0.34999974568684894,1.0,1.0,1.0,1.0,16,18,52,0.0
large_fast_proxy,tool_heavy,1.0,0.35,67,550502,1572864,0.3489583333333333,0.34999974568684894,1.0,1.0,1.0,1.0,16,18,85,8.881784197001252e-16
small_slow_proxy,tool_heavy,1.0,0.7,34,275251,393216,0.7083333333333334,0.6999994913736979,0.7647058823529411,0.8235294117647058,0.6,0.4,9,12,46,1.4210854715202004e-14
registered_a100_shape,tool_heavy,1.0,0.7,67,550502,786432,0.6979166666666666,0.6999994913736979,1.0,1.0,1.0,1.0,16,18,85,8.881784197001252e-16
large_fast_proxy,tool_heavy,1.0,0.7,134,1101004,1572864,0.6979166666666666,0.6999994913736979,1.0,1.0,1.0,1.0,16,18,152,8.881784197001252e-16
small_slow_proxy,tool_heavy,1.0,0.9,43,353894,393216,0.8958333333333334,0.8999989827473959,0.8954248366013072,0.8235294117647058,0.6,0.4,6,4,47,1.4210854715202004e-14
registered_a100_shape,tool_heavy,1.0,0.9,86,707788,786432,0.8958333333333334,0.8999989827473959,1.0,1.0,1.0,1.0,7,4,90,0.0
large_fast_proxy,tool_heavy,1.0,0.9,173,1415577,1572864,0.9010416666666666,0.8999996185302734,0.9869281045751634,1.0,1.0,1.0,11,7,180,8.881784197001252e-16
small_slow_proxy,tool_heavy,2.0,0.35,17,137625,393216,0.3541666666666667,0.34999847412109375,1.0,0.8823529411764706,1.0,0.4,3,13,30,1.4210854715202004e-14
registered_a100_shape,tool_heavy,2.0,0.35,34,275251,786432,0.3541666666666667,0.34999974568684894,1.0,1.0,1.0,1.0,16,18,52,4.440892098500626e-16
large_fast_proxy,tool_heavy,2.0,0.35,67,550502,1572864,0.3489583333333333,0.34999974568684894,1.0,1.0,1.0,1.0,16,18,85,4.440892098500626e-16
small_slow_proxy,tool_heavy,2.0,0.7,34,275251,393216,0.7083333333333334,0.6999994913736979,1.0,1.0,1.0,1.0,3,6,40,1.4210854715202004e-14
registered_a100_shape,tool_heavy,2.0,0.7,67,550502,786432,0.6979166666666666,0.6999994913736979,1.0,1.0,1.0,1.0,12,11,78,0.0
large_fast_proxy,tool_heavy,2.0,0.7,134,1101004,1572864,0.6979166666666666,0.6999994913736979,1.0,1.0,1.0,1.0,16,18,152,2.220446049250313e-16
small_slow_proxy,tool_heavy,2.0,0.9,43,353894,393216,0.8958333333333334,0.8999989827473959,1.0,0.9411764705882353,1.0,1.0,3,2,45,0.0
registered_a100_shape,tool_heavy,2.0,0.9,86,707788,786432,0.8958333333333334,0.8999989827473959,1.0,1.0,1.0,1.0,4,4,90,8.881784197001252e-16
large_fast_proxy,tool_heavy,2.0,0.9,173,1415577,1572864,0.9010416666666666,0.8999996185302734,0.9869281045751634,0.9411764705882353,1.0,1.0,7,4,177,0.0
small_slow_proxy,mixed,0.5,0.35,17,137625,393216,0.3541666666666667,0.34999847412109375,1.0,1.0,1.0,1.0,16,18,35,0.0
registered_a100_shape,mixed,0.5,0.35,34,275251,786432,0.3541666666666667,0.34999974568684894,1.0,1.0,1.0,1.0,16,18,52,0.0
large_fast_proxy,mixed,0.5,0.35,67,550502,1572864,0.3489583333333333,0.34999974568684894,1.0,1.0,1.0,1.0,16,18,85,3.552713678800501e-15
small_slow_proxy,mixed,0.5,0.7,34,275251,393216,0.7083333333333334,0.6999994913736979,1.0,1.0,1.0,1.0,16,14,48,0.0
registered_a100_shape,mixed,0.5,0.7,67,550502,786432,0.6979166666666666,0.6999994913736979,1.0,1.0,1.0,1.0,16,18,85,0.0
large_fast_proxy,mixed,0.5,0.7,134,1101004,1572864,0.6979166666666666,0.6999994913736979,1.0,1.0,1.0,1.0,16,18,152,0.0
small_slow_proxy,mixed,0.5,0.9,43,353894,393216,0.8958333333333334,0.8999989827473959,0.9869281045751634,1.0,1.0,1.0,7,4,47,0.0
registered_a100_shape,mixed,0.5,0.9,86,707788,786432,0.8958333333333334,0.8999989827473959,1.0,1.0,1.0,1.0,11,6,92,0.0
large_fast_proxy,mixed,0.5,0.9,173,1415577,1572864,0.9010416666666666,0.8999996185302734,1.0,1.0,1.0,1.0,16,11,184,0.0
small_slow_proxy,mixed,1.0,0.35,17,137625,393216,0.3541666666666667,0.34999847412109375,0.7647058823529411,0.7647058823529411,0.6,0.6,9,18,35,1.4210854715202004e-14
registered_a100_shape,mixed,1.0,0.35,34,275251,786432,0.3541666666666667,0.34999974568684894,1.0,1.0,1.0,1.0,16,18,52,0.0
large_fast_proxy,mixed,1.0,0.35,67,550502,1572864,0.3489583333333333,0.34999974568684894,1.0,1.0,1.0,1.0,16,18,85,8.881784197001252e-16
small_slow_proxy,mixed,1.0,0.7,34,275251,393216,0.7083333333333334,0.6999994913736979,0.7647058823529411,0.7647058823529411,0.6,0.6,9,12,46,1.4210854715202004e-14
registered_a100_shape,mixed,1.0,0.7,67,550502,786432,0.6979166666666666,0.6999994913736979,1.0,1.0,1.0,1.0,16,18,85,8.881784197001252e-16
large_fast_proxy,mixed,1.0,0.7,134,1101004,1572864,0.6979166666666666,0.6999994913736979,1.0,1.0,1.0,1.0,16,18,152,8.881784197001252e-16
small_slow_proxy,mixed,1.0,0.9,43,353894,393216,0.8958333333333334,0.8999989827473959,0.8954248366013072,0.7647058823529411,0.6,0.6,6,4,47,1.4210854715202004e-14
registered_a100_shape,mixed,1.0,0.9,86,707788,786432,0.8958333333333334,0.8999989827473959,1.0,1.0,1.0,1.0,7,4,90,0.0
large_fast_proxy,mixed,1.0,0.9,173,1415577,1572864,0.9010416666666666,0.8999996185302734,0.9869281045751634,1.0,1.0,1.0,11,7,180,8.881784197001252e-16
small_slow_proxy,mixed,2.0,0.35,17,137625,393216,0.3541666666666667,0.34999847412109375,1.0,1.0,1.0,1.0,3,13,30,1.4210854715202004e-14
registered_a100_shape,mixed,2.0,0.35,34,275251,786432,0.3541666666666667,0.34999974568684894,1.0,1.0,1.0,1.0,16,18,52,4.440892098500626e-16
large_fast_proxy,mixed,2.0,0.35,67,550502,1572864,0.3489583333333333,0.34999974568684894,1.0,1.0,1.0,1.0,16,18,85,4.440892098500626e-16
small_slow_proxy,mixed,2.0,0.7,34,275251,393216,0.7083333333333334,0.6999994913736979,1.0,1.0,1.0,1.0,3,6,40,1.4210854715202004e-14
registered_a100_shape,mixed,2.0,0.7,67,550502,786432,0.6979166666666666,0.6999994913736979,1.0,1.0,1.0,1.0,12,11,78,0.0
large_fast_proxy,mixed,2.0,0.7,134,1101004,1572864,0.6979166666666666,0.6999994913736979,1.0,1.0,1.0,1.0,16,18,152,2.220446049250313e-16
small_slow_proxy,mixed,2.0,0.9,43,353894,393216,0.8958333333333334,0.8999989827473959,1.0,0.7058823529411765,1.0,1.0,3,2,45,0.0
registered_a100_shape,mixed,2.0,0.9,86,707788,786432,0.8958333333333334,0.8999989827473959,1.0,1.0,1.0,1.0,4,4,90,8.881784197001252e-16
large_fast_proxy,mixed,2.0,0.9,173,1415577,1572864,0.9010416666666666,0.8999996185302734,0.9869281045751634,1.0,1.0,1.0,7,4,177,0.0
small_slow_proxy,llm_heavy,0.5,0.35,17,137625,393216,0.3541666666666667,0.34999847412109375,1.0,1.0,1.0,1.0,16,18,35,0.0
